year;ric;effect
2005;INOL.PK;negative
2006;INOL.PK;negative
2010;INOL.PK;negative
2011;INOL.PK;negative
2012;INOL.PK;negative
2013;INOL.PK;negative
2011;INOL.PK;negative
2012;INOL.PK;negative
2013;INOL.PK;negative
1996;AAPL.O;negative
1997;AAPL.O;negative
1998;AAPL.O;negative
1999;AAPL.O;negative
2000;AAPL.O;negative
2001;AAPL.O;negative
2002;AAPL.O;negative
2003;AAPL.O;negative
2004;AAPL.O;negative
2005;AAPL.O;negative
2006;AAPL.O;negative
2003;JPM;negative
2004;JPM;negative
2005;JPM;negative
2006;JPM;negative
2012;JPM;negative
2008;GOOGL.O;negative
2009;GOOGL.O;negative
2010;GOOGL.O;negative
2011;GOOGL.O;negative
2012;GOOGL.O;negative
2013;GOOGL.O;negative
2014;GOOGL.O;negative
2015;GOOGL.O;negative
2014;GOOGL.O;negative
2015;GOOGL.O;negative
2012;JNJ;negative
2015;V;negative
2016;V;negative
2013;MA;negative
2014;MA;negative
2015;MA;negative
2001;BRKa;negative
1998;WFC;negative
1999;WFC;negative
2000;WFC;negative
2001;WFC;negative
2002;WFC;negative
2003;WFC;negative
2005;WFC;negative
2006;WFC;negative
2007;WFC;negative
1994;UNH;negative
1995;UNH;negative
1996;UNH;negative
1997;UNH;negative
1998;UNH;negative
1999;UNH;negative
2000;UNH;negative
2001;UNH;negative
2002;UNH;negative
2003;UNH;negative
2004;UNH;negative
2005;UNH;negative
2006;UNH;negative
2010;EPAZ.PK;negative
2011;EPAZ.PK;negative
2014;EPAZ.PK;negative
2003;ADBE.O;negative
2004;ADBE.O;negative
2005;ADBE.O;negative
2006;ADBE.O;negative
2007;COST.O;negative
2008;COST.O;negative
2008;COST.O;negative
2009;COST.O;negative
1999;NVDA.O;negative
2000;NVDA.O;negative
2001;NVDA.O;negative
1999;NVDA.O;negative
2000;NVDA.O;negative
2001;NVDA.O;negative
2002;NVDA.O;negative
2003;NVDA.O;negative
2004;NVDA.O;negative
2005;NVDA.O;negative
2006;NVDA.O;negative
2001;TXN.O;negative
2012;NFLX.O;negative
2004;NFLX.O;negative
2005;NFLX.O;negative
2006;NFLX.O;negative
2007;NFLX.O;negative
2008;NFLX.O;negative
2012;TMO;negative
2012;NKE;negative
2013;NKE;negative
2009;NKE;negative
2010;NKE;negative
2011;NKE;negative
2012;NKE;negative
2013;NKE;negative
2014;NKE;negative
2014;NKE;negative
2015;NKE;negative
2016;NKE;negative
2017;NKE;negative
2014;HON;negative
2015;HON;negative
2016;HON;negative
2017;HON;negative
2018;HON;negative
2001;SBUX.O;negative
2002;SBUX.O;negative
2003;SBUX.O;negative
2004;SBUX.O;negative
2011;SBUX.O;negative
2012;SBUX.O;negative
2013;SBUX.O;negative
2017;SBUX.O;negative
2017;SBUX.O;negative
2018;SBUX.O;negative
2003;LLY;negative
2004;LLY;negative
2005;LLY;negative
2006;LLY;negative
2007;LLY;negative
2008;LLY;negative
2001;AMT;negative
2002;AMT;negative
2003;AMT;negative
2004;AMT;negative
1998;AMT;negative
1999;AMT;negative
2000;AMT;negative
2001;AMT;negative
2002;AMT;negative
2003;AMT;negative
2004;AMT;negative
2005;AMT;negative
2006;AMT;negative
2007;AXP;negative
2008;AXP;negative
2009;AXP;negative
2010;AXP;negative
2010;AXP;negative
2011;AXP;negative
2014;AXP;negative
2010;AXP;negative
2011;AXP;negative
2010;AXP;negative
2015;AXP;negative
2016;QCOM.O;negative
2017;QCOM.O;negative
2018;QCOM.O;negative
2010;PUSH.PK;negative
2013;MMM;negative
2014;MMM;negative
2015;MMM;negative
2016;MMM;negative
2010;MMM;negative
2011;MMM;negative
2001;LOW;negative
2002;LOW;negative
2003;LOW;negative
2004;LOW;negative
2003;LOW;negative
2004;LOW;negative
2005;LOW;negative
2006;LOW;negative
2005;BKNG.O;negative
2006;BKNG.O;negative
2007;BKNG.O;negative
2019;BKNG.O;negative
2001;BMY;negative
2002;BMY;negative
2003;BMY;negative
1999;BMY;negative
2000;BMY;negative
2001;BMY;negative
2002;BMY;negative
2016;FIS;negative
2001;GE;negative
2002;GE;negative
2003;GE;negative
2004;GE;negative
2005;GE;negative
2006;GE;negative
2008;GE;negative
2002;GE;negative
2003;GE;negative
2004;GE;negative
2005;GE;negative
2006;GE;negative
2007;GE;negative
1999;TJX;negative
2000;TJX;negative
2016;TJX;negative
2003;DUK;negative
2004;DUK;negative
1999;ADP.O;negative
2000;ADP.O;negative
2018;ADP.O;negative
2011;CAT;negative
2012;CAT;negative
2013;CAT;negative
2013;CAT;negative
2014;BDX;negative
2015;BDX;negative
2016;BDX;negative
2003;MS;negative
2004;MS;negative
2010;MS;negative
2011;MS;negative
2012;MS;negative
2013;MS;negative
2002;TMUS.O;negative
2003;TMUS.O;negative
2004;TMUS.O;negative
2011;TMUS.O;negative
2015;TMUS.O;negative
2016;TMUS.O;negative
2017;TMUS.O;negative
2007;BLK;negative
2007;BLK;negative
2008;BLK;negative
2009;BLK;negative
2007;NOC;negative
2008;NOC;negative
2009;NOC;negative
2010;NOC;negative
2001;PNC;negative
2006;PNC;negative
2010;PNC;negative
2015;PNC;negative
2002;ISRG.O;negative
2011;COP;negative
