Feature1,Feature2,Feature3,Feature4,Feature5,Count_Total,Num_Objects,Avg_Object,Min_Object,Max_Object
33,58,,,,3083,61,50.540983606557376,2,148
58,62,,,,3008,63,47.74603174603175,3,160
33,62,,,,2788,61,45.704918032786885,1,159
33,58,62,,,2674,60,44.56666666666667,1,148
58,60,,,,2658,58,45.827586206896555,1,160
60,62,,,,2555,59,43.30508474576271,1,159
34,58,,,,2534,57,44.45614035087719,1,164
33,34,,,,2488,57,43.64912280701754,1,148
58,60,62,,,2475,58,42.672413793103445,1,158
33,60,,,,2418,57,42.421052631578945,1,158
33,58,60,,,2335,55,42.45454545454545,1,148
33,34,58,,,2303,55,41.872727272727275,1,147
34,62,,,,2285,56,40.80357142857143,1,162
33,60,62,,,2244,56,40.07142857142857,1,158
34,58,62,,,2200,55,40.0,1,160
33,58,60,62,,2179,55,39.61818181818182,1,148
33,34,62,,,2064,55,37.527272727272724,1,148
33,34,58,62,,1982,54,36.7037037037037,1,147
34,60,,,,1949,52,37.48076923076923,1,161
34,58,60,,,1894,50,37.88,1,160
34,60,62,,,1830,51,35.88235294117647,1,159
48,58,,,,1805,23,78.47826086956522,9,148
48,62,,,,1788,23,77.73913043478261,6,150
34,58,60,62,,1788,50,35.76,1,158
33,48,,,,1773,22,80.5909090909091,9,150
48,58,62,,,1740,22,79.0909090909091,8,148
33,34,60,,,1732,51,33.96078431372549,1,147
33,48,58,,,1720,22,78.18181818181819,9,148
33,48,62,,,1706,22,77.54545454545455,6,150
33,34,58,60,,1679,49,34.265306122448976,1,146
33,48,58,62,,1660,21,79.04761904761905,8,148
48,60,,,,1659,22,75.4090909090909,5,149
33,34,60,62,,1621,50,32.42,1,147
48,58,60,,,1620,21,77.14285714285714,7,148
48,60,62,,,1609,21,76.61904761904762,8,149
33,34,58,60,62,1581,49,32.265306122448976,1,146
33,48,60,,,1577,21,75.0952380952381,5,149
48,58,60,62,,1577,21,75.0952380952381,7,148
33,48,58,60,,1539,20,76.95,7,148
33,48,60,62,,1532,20,76.6,8,149
33,48,58,60,62,1501,20,75.05,7,148
34,48,,,,1306,21,62.19047619047619,1,146
34,48,58,,,1268,21,60.38095238095238,1,145
34,48,62,,,1244,20,62.2,3,146
33,34,48,,,1223,20,61.15,1,146
34,48,58,62,,1213,19,63.8421052631579,3,145
33,34,48,58,,1187,20,59.35,1,145
33,34,48,62,,1165,19,61.31578947368421,3,146
34,48,60,,,1158,20,57.9,1,146
33,34,48,58,62,1136,18,63.111111111111114,3,145
34,48,58,60,,1133,19,59.63157894736842,1,145
34,48,60,62,,1118,18,62.111111111111114,3,146
34,48,58,60,62,1100,18,61.111111111111114,3,145
33,34,48,60,,1079,19,56.78947368421053,1,146
33,34,48,58,60,1055,18,58.611111111111114,1,145
33,34,48,60,62,1043,17,61.35294117647059,3,146
58,64,,,,805,40,20125,1,54
33,35,,,,800,19,42.10526315789474,1,143
33,64,,,,716,38,18.842105263157894,1,35
35,58,,,,715,17,42.05882352941177,1,143
33,35,58,,,714,17,42.0,1,143
62,64,,,,689,36,19.13888888888889,1,52
33,58,64,,,672,37,18.16216216216216,1,33
58,62,64,,,654,36,18.166666666666668,1,48
35,62,,,,645,17,37.94117647058823,1,143
33,35,62,,,644,17,37.88235294117647,1,143
35,58,62,,,628,17,36.94117647058823,1,143
33,35,58,62,,627,17,36.88235294117647,1,143
35,60,,,,612,17,36.0,1,143
33,35,60,,,611,17,35.94117647058823,1,143
60,64,,,,610,36,16.944444444444443,1,44
35,58,60,,,597,17,35.11764705882353,1,143
33,35,58,60,,596,17,35.05882352941177,1,143
34,64,,,,585,34,17.205882352941178,1,39
58,60,64,,,578,36,16.055555555555557,1,41
33,62,64,,,566,33,17.151515151515152,1,33
33,34,64,,,563,34,16.558823529411764,1,35
34,58,64,,,551,33,16.696969696969695,1,37
35,60,62,,,550,17,32.35294117647059,1,143
33,35,60,62,,549,17,32.294117647058826,1,143
33,58,62,64,,540,33,16.363636363636363,1,32
35,58,60,62,,539,17,31.705882352941178,1,143
33,35,58,60,62,538,17,31.647058823529413,1,143
60,62,64,,,532,32,16625,1,42
33,34,58,64,,532,33,16.12121212121212,1,31
58,60,62,64,,506,32,15.8125,1,39
33,60,64,,,503,33,15.242424242424242,1,29
35,48,,,,495,4,123.75,101,143
33,35,48,,,495,4,123.75,101,143
35,48,58,,,489,4,122.25,98,143
33,35,48,58,,489,4,122.25,98,143
35,48,62,,,485,4,121.25,99,143
33,35,48,62,,485,4,121.25,99,143
33,58,60,64,,479,33,14.515151515151516,1,28
35,48,58,62,,479,4,119.75,96,143
33,35,48,58,62,479,4,119.75,96,143
34,62,64,,,475,28,16.964285714285715,1,36
34,58,62,64,,460,28,16.428571428571427,1,34
33,34,62,64,,457,28,16.321428571428573,1,30
35,48,60,,,445,4,111.25,57,143
33,35,48,60,,445,4,111.25,57,143
35,48,58,60,,442,4,110.5,57,143
33,34,58,62,64,442,28,15.785714285714286,1,29
33,35,48,58,60,442,4,110.5,57,143
33,60,62,64,,436,29,15.03448275862069,1,29
35,48,60,62,,435,4,108.75,55,143
33,35,48,60,62,435,4,108.75,55,143
35,48,58,60,62,432,4,108.0,55,143
33,58,60,62,64,418,29,14.413793103448276,1,28
34,60,64,,,406,29,14.0,1,28
33,34,60,64,,393,29,13.551724137931034,1,28
34,58,60,64,,392,29,13.517241379310345,1,28
33,57,,,,391,39,10.025641025641026,1,47
33,34,58,60,64,379,29,13.068965517241379,1,28
34,60,62,64,,365,24,15.208333333333334,1,28
34,58,60,62,64,355,24,14.791666666666666,1,28
33,34,60,62,64,353,24,14.708333333333334,1,28
33,65,,,,278,35,7.942857142857143,1,47
58,67,,,,268,33,8.121212121212121,1,21
58,65,,,,267,33,8.090909090909092,1,47
33,67,,,,264,32,8.25,1,21
33,58,65,,,254,32,7.9375,1,47
33,58,67,,,253,31,8.161290322580646,1,21
57,58,,,,249,37,6.72972972972973,1,19
34,65,,,,240,28,8.571428571428571,1,47
33,34,65,,,240,28,8.571428571428571,1,47
34,57,,,,228,30,7.6,1,47
34,58,65,,,224,26,8.615384615384615,1,47
33,34,58,65,,224,26,8.615384615384615,1,47
33,34,57,,,223,29,7.689655172413793,1,47
62,65,,,,219,33,6.636363636363637,1,36
33,62,65,,,210,32,6.5625,1,36
33,57,58,,,203,35,5.8,1,19
57,60,,,,202,32,6.3125,1,19
58,62,65,,,202,31,6.516129032258065,1,36
33,63,,,,201,20,10.05,1,26
62,67,,,,199,30,6.633333333333334,1,20
57,62,,,,198,35,5.6571428571428575,1,19
58,62,67,,,195,30,6.5,1,20
33,58,62,65,,195,30,6.5,1,36
58,63,,,,194,22,8.818181818181818,1,23
34,67,,,,191,24,7.958333333333333,1,19
33,62,67,,,189,29,6.517241379310345,1,20
33,34,67,,,188,24,7.833333333333333,1,19
33,58,62,67,,186,29,6.413793103448276,1,20
33,58,63,,,185,20,9.25,1,23
60,67,,,,183,30,6.1,1,20
34,58,67,,,181,23,7.869565217391305,1,18
60,65,,,,180,29,6.206896551724138,1,21
33,34,58,67,,179,23,7.782608695652174,1,18
34,62,65,,,177,26,6.8076923076923075,1,36
33,34,62,65,,177,26,6.8076923076923075,1,36
58,60,67,,,176,30,5.866666666666666,1,20
33,60,67,,,170,28,6.071428571428571,1,20
33,60,65,,,169,28,6.035714285714286,1,21
58,60,65,,,169,28,6.035714285714286,1,21
34,58,62,65,,166,24,6.916666666666667,1,36
33,34,58,62,65,166,24,6.916666666666667,1,36
33,58,60,67,,164,28,5.857142857142857,1,20
35,57,,,,163,15,10.866666666666667,1,44
33,35,57,,,163,15,10.866666666666667,1,44
57,58,60,,,163,29,5.620689655172414,1,19
33,57,62,,,161,32,5.03125,1,19
64,67,,,,160,29,5.517241379310345,1,12
33,58,60,65,,160,27,5.925925925925926,1,21
57,64,,,,159,31,5.129032258064516,1,19
33,57,60,,,159,30,5.3,1,19
60,62,65,,,157,27,5.814814814814815,1,16
60,62,67,,,154,27,5.703703703703703,1,19
58,64,67,,,151,28,5.392857142857143,1,10
33,60,62,65,,151,26,5.8076923076923075,1,16
58,60,62,67,,151,27,5.592592592592593,1,19
33,64,67,,,149,27,5.518518518518518,1,12
57,58,62,,,148,32,4625,1,19
58,60,62,65,,147,26,5.653846153846154,1,16
33,60,62,67,,146,26,5.615384615384615,1,19
33,58,60,62,67,144,26,5.538461538461538,1,19
33,58,60,62,65,143,25,5.72,1,16
62,63,,,,142,16,8875,1,22
33,58,64,67,,140,26,5.384615384615385,1,10
64,65,,,,139,27,5.148148148148148,1,16
