year;ric
2001;WMT
2002;WMT
1998;AMZN.O
1999;AMZN.O
2000;AMZN.O
2001;AMZN.O
2002;AMZN.O
2003;AMZN.O
2004;AMZN.O
2005;AMZN.O
2006;AMZN.O
2007;AMZN.O
2008;AMZN.O
2009;AMZN.O
2010;AMZN.O
2011;AMZN.O
2012;AMZN.O
2013;AMZN.O
2014;AMZN.O
2015;AMZN.O
2016;AMZN.O
2001;UPS
2007;UPS
2008;UPS
2009;UPS
1999;KR
2003;KR
2005;HD
2006;HD
2001;IBM
2003;IBM
2004;IBM
1999;TGT
2000;TGT
2002;TGT
2003;TGT
2012;TGT
2013;TGT
1998;GE
1999;GE
2000;GE
2001;GE
2002;GE
2003;GE
2004;GE
2005;GE
2006;GE
2007;GE
2008;GE
2011;GE
2012;GE
2013;GE
2014;GE
2015;GE
2016;GE
1998;SBUX.O
2002;SBUX.O
2003;SBUX.O
1999;PEP.O
2000;PEP.O
2001;PEP.O
2002;PEP.O
1998;WFC
1999;WFC
2000;WFC
2001;WFC
2002;WFC
2004;WFC
2005;WFC
2006;WFC
2015;WFC
2016;WFC
2004;UNH
2005;UNH
1998;HCA
1999;HCA
2000;HCA
2001;HCA
2002;HCA
2003;HCA
2004;HCA
2005;HCA
2006;HCA
2007;HCA
2008;HCA
2009;HCA
2010;HCA
2011;HCA
2012;HCA
2016;HCA
1998;JPM
1999;JPM
2004;JPM
1998;T
1999;T
2000;T
2002;T
2003;T
2004;T
2005;T
2007;T
2008;T
2009;T
2010;T
2011;T
2014;T
2016;T
2003;TJX
2004;TJX
1998;CVS
1999;CVS
2000;MTLQU.PK
2001;MTLQU.PK
2003;MTLQU.PK
2004;MTLQU.PK
2006;MTLQU.PK
2007;MTLQU.PK
2008;MTLQU.PK
2009;MTLQU.PK
2010;MTLQU.PK
2011;MTLQU.PK
2012;MTLQU.PK
2013;MTLQU.PK
2015;MTLQU.PK
2001;MCD
2002;MCD
2003;MCD
2004;MCD
2005;MCD
2007;MCD
2011;MCD
2013;MCD
2014;MCD
2015;MCD
2016;MCD
1998;BAC
1999;BAC
2000;BAC
2001;BAC
2002;BAC
2003;BAC
2004;BAC
2012;BAC
2014;BAC
1998;C
1999;C
2000;C
2001;C
2004;C
2006;C
2007;C
2011;C
2012;C
2013;C
1998;UTX
2000;UTX
2013;UTX
2014;UTX
1998;F
1999;F
2002;F
2003;F
2004;F
2007;F
2008;F
2013;F
2014;F
1998;LOW
1998;DIS
1999;DIS
2008;DIS
2003;DRI
2004;DRI
2005;DRI
