year;ric
1998;WMT
2000;WMT
2001;WMT
2002;WMT
2003;WMT
2004;WMT
2005;WMT
2006;WMT
2007;WMT
2008;WMT
2009;WMT
2010;WMT
2011;WMT
2012;WMT
2013;WMT
2014;WMT
2015;WMT
2016;WMT
1998;AMZN.O
1999;AMZN.O
2000;AMZN.O
2001;AMZN.O
2002;AMZN.O
2003;AMZN.O
2004;AMZN.O
2005;AMZN.O
2006;AMZN.O
2007;AMZN.O
2008;AMZN.O
2009;AMZN.O
2010;AMZN.O
2011;AMZN.O
2012;AMZN.O
2013;AMZN.O
2014;AMZN.O
2015;AMZN.O
2016;AMZN.O
1998;UPS
1999;UPS
2000;UPS
2001;UPS
2002;UPS
2003;UPS
2004;UPS
2005;UPS
2007;UPS
2008;UPS
2009;UPS
2010;UPS
2012;UPS
2014;UPS
1999;KR
2000;KR
2001;KR
2002;KR
2003;KR
2007;KR
2008;KR
2009;KR
2010;KR
2011;KR
2012;KR
2014;KR
2015;KR
1998;HD
1999;HD
2000;HD
2003;HD
2004;HD
2005;HD
2006;HD
2009;HD
2013;HD
2014;HD
2015;HD
2000;BRKa
2001;BRKa
2002;BRKa
2003;BRKa
2004;BRKa
2005;BRKa
2006;BRKa
2008;BRKa
2009;BRKa
2012;BRKa
2013;BRKa
2014;BRKa
2015;BRKa
2016;BRKa
1998;IBM
1999;IBM
2000;IBM
2001;IBM
2002;IBM
2003;IBM
2004;IBM
2005;IBM
2006;IBM
2007;IBM
2011;IBM
2012;IBM
2013;IBM
2014;IBM
2015;IBM
2016;IBM
1998;TGT
1999;TGT
2000;TGT
2001;TGT
2002;TGT
2003;TGT
2004;TGT
2006;TGT
2007;TGT
2012;TGT
2013;TGT
2014;TGT
2015;TGT
2016;TGT
1998;GE
1999;GE
2000;GE
2001;GE
2002;GE
2003;GE
2004;GE
2005;GE
2006;GE
2007;GE
2008;GE
2009;GE
2010;GE
2011;GE
2012;GE
2013;GE
2014;GE
2015;GE
2016;GE
1998;SBUX.O
1999;SBUX.O
2000;SBUX.O
2001;SBUX.O
2002;SBUX.O
2003;SBUX.O
2004;SBUX.O
2005;SBUX.O
2007;SBUX.O
2008;SBUX.O
2009;SBUX.O
2010;SBUX.O
2011;SBUX.O
2012;SBUX.O
2014;SBUX.O
2015;SBUX.O
1999;PEP.O
2000;PEP.O
2001;PEP.O
2002;PEP.O
2003;PEP.O
2004;PEP.O
2006;PEP.O
2007;PEP.O
2008;PEP.O
2010;PEP.O
2013;PEP.O
2014;PEP.O
2015;PEP.O
2016;PEP.O
1998;WFC
1999;WFC
2000;WFC
2001;WFC
2002;WFC
2004;WFC
2005;WFC
2006;WFC
2007;WFC
2008;WFC
2013;WFC
2014;WFC
2015;WFC
2016;WFC
1998;UNH
2000;UNH
2003;UNH
2004;UNH
2005;UNH
2014;UNH
2015;UNH
1999;CTSH.O
2003;CTSH.O
2004;CTSH.O
2005;CTSH.O
2013;CTSH.O
2014;CTSH.O
2015;CTSH.O
2016;CTSH.O
1998;HCA
1999;HCA
2000;HCA
2001;HCA
2002;HCA
2003;HCA
2004;HCA
2005;HCA
2006;HCA
2007;HCA
2008;HCA
2009;HCA
2010;HCA
2011;HCA
2012;HCA
2013;HCA
2014;HCA
2015;HCA
2016;HCA
1998;JPM
1999;JPM
2003;JPM
2004;JPM
2005;JPM
2006;JPM
2007;JPM
2008;JPM
2009;JPM
2012;JPM
2013;JPM
2014;JPM
1998;T
1999;T
2000;T
2001;T
2002;T
2003;T
2004;T
2005;T
2006;T
2007;T
2008;T
2009;T
2010;T
2011;T
2012;T
2013;T
2014;T
2015;T
2016;T
1998;TJX
1999;TJX
2000;TJX
2002;TJX
2003;TJX
2004;TJX
2005;TJX
2006;TJX
2007;TJX
2008;TJX
2013;TJX
2014;TJX
