ric,year,all,relevant,relevant5%
WMT,1998,1,0,0
WMT,1999,0,0,0
WMT,2000,1,1,0
WMT,2001,1,1,1
WMT,2002,1,1,1
WMT,2003,1,0,0
WMT,2004,1,1,0
WMT,2005,1,1,0
WMT,2006,1,1,0
WMT,2007,1,1,0
WMT,2008,1,1,0
WMT,2009,1,1,0
WMT,2010,1,0,0
WMT,2011,1,1,0
WMT,2012,1,1,0
WMT,2013,1,0,0
WMT,2014,1,0,0
WMT,2015,1,1,0
WMT,2016,1,1,0
AMZN.O,1998,1,1,1
AMZN.O,1999,1,1,1
AMZN.O,2000,1,1,1
AMZN.O,2001,1,1,1
AMZN.O,2002,1,1,1
AMZN.O,2003,1,1,1
AMZN.O,2004,1,1,1
AMZN.O,2005,1,1,1
AMZN.O,2006,1,1,1
AMZN.O,2007,1,1,1
AMZN.O,2008,1,1,1
AMZN.O,2009,1,1,1
AMZN.O,2010,1,1,1
AMZN.O,2011,1,1,1
AMZN.O,2012,1,1,1
AMZN.O,2013,1,1,1
AMZN.O,2014,1,1,1
AMZN.O,2015,1,1,1
AMZN.O,2016,1,1,1
UPS,1998,1,1,0
UPS,1999,1,1,0
UPS,2000,1,1,0
UPS,2001,1,1,1
UPS,2002,1,1,0
UPS,2003,1,1,0
UPS,2004,1,1,0
UPS,2005,1,0,0
UPS,2006,0,0,0
UPS,2007,1,1,1
UPS,2008,1,1,1
UPS,2009,1,1,1
UPS,2010,1,1,0
UPS,2011,0,0,0
UPS,2012,1,0,0
UPS,2013,0,0,0
UPS,2014,1,0,0
UPS,2015,0,0,0
UPS,2016,0,0,0
KR,1998,0,0,0
KR,1999,1,1,1
KR,2000,1,1,0
KR,2001,1,1,0
KR,2002,1,1,0
KR,2003,1,1,1
KR,2004,0,0,0
KR,2005,0,0,0
KR,2006,0,0,0
KR,2007,1,1,0
KR,2008,1,1,0
KR,2009,1,1,0
KR,2010,1,1,0
KR,2011,1,1,0
KR,2012,1,1,0
KR,2013,0,0,0
KR,2014,1,1,0
KR,2015,1,1,0
KR,2016,0,0,0
HD,1998,1,0,0
HD,1999,1,0,0
HD,2000,1,0,0
HD,2001,0,0,0
HD,2002,0,0,0
HD,2003,1,0,0
HD,2004,1,1,0
HD,2005,1,1,1
HD,2006,1,1,1
HD,2007,0,0,0
HD,2008,0,0,0
HD,2009,1,0,0
HD,2010,0,0,0
HD,2011,0,0,0
HD,2012,0,0,0
HD,2013,1,0,0
HD,2014,1,0,0
HD,2015,1,0,0
HD,2016,0,0,0
BRKa,1998,0,0,0
BRKa,1999,0,0,0
BRKa,2000,1,1,0
BRKa,2001,1,1,0
BRKa,2002,1,1,0
BRKa,2003,1,1,0
BRKa,2004,1,1,0
BRKa,2005,1,0,0
BRKa,2006,1,0,0
BRKa,2007,0,0,0
BRKa,2008,1,1,0
BRKa,2009,1,0,0
BRKa,2010,0,0,0
BRKa,2011,0,0,0
BRKa,2012,1,1,0
BRKa,2013,1,0,0
BRKa,2014,1,1,0
BRKa,2015,1,1,0
BRKa,2016,1,1,0
IBM,1998,1,0,0
IBM,1999,1,1,0
IBM,2000,1,1,0
IBM,2001,1,1,0
IBM,2002,1,0,0
IBM,2003,1,1,1
IBM,2004,1,1,1
IBM,2005,1,0,0
IBM,2006,1,0,0
IBM,2007,1,0,0
IBM,2008,0,0,0
IBM,2009,0,0,0
IBM,2010,0,0,0
IBM,2011,1,1,0
IBM,2012,1,1,0
IBM,2013,1,0,0
IBM,2014,1,0,0
IBM,2015,1,1,0
IBM,2016,1,1,0
TGT,1998,1,1,0
TGT,1999,1,1,1
TGT,2000,1,1,1
TGT,2001,1,1,0
TGT,2002,1,1,1
TGT,2003,1,1,1
TGT,2004,1,1,0
TGT,2005,0,0,0
TGT,2006,1,1,0
TGT,2007,1,0,0
TGT,2008,0,0,0
TGT,2009,0,0,0
TGT,2010,0,0,0
TGT,2011,0,0,0
TGT,2012,1,0,0
TGT,2013,1,1,0
TGT,2014,1,1,0
TGT,2015,1,1,0
TGT,2016,1,0,0
GE,1998,1,1,1
GE,1999,1,1,1
GE,2000,1,1,1
GE,2001,1,1,1
GE,2002,1,1,1
GE,2003,1,1,1
GE,2004,1,1,1
GE,2005,1,1,0
GE,2006,1,1,1
GE,2007,1,1,1
GE,2008,1,1,1
GE,2009,1,1,0
GE,2010,1,1,1
GE,2011,1,1,1
GE,2012,1,1,1
GE,2013,1,1,1
GE,2014,1,1,1
GE,2015,1,1,1
GE,2016,1,1,1
SBUX.O,1998,1,1,1
SBUX.O,1999,1,1,0
SBUX.O,2000,1,1,0
SBUX.O,2001,1,1,0
SBUX.O,2002,1,1,1
SBUX.O,2003,1,1,1
SBUX.O,2004,1,1,0
SBUX.O,2005,1,0,0
SBUX.O,2006,0,0,0
SBUX.O,2007,1,0,0
SBUX.O,2008,1,0,0
SBUX.O,2009,1,0,0
SBUX.O,2010,1,0,0
SBUX.O,2011,1,1,0
SBUX.O,2012,1,1,0
SBUX.O,2013,0,0,0
SBUX.O,2014,1,0,0
SBUX.O,2015,1,0,0
SBUX.O,2016,0,0,0
PEP.O,1998,0,0,0
PEP.O,1999,1,1,1
PEP.O,2000,1,1,1
PEP.O,2001,1,1,1
PEP.O,2002,1,1,1
PEP.O,2003,1,0,0
PEP.O,2004,1,0,0
PEP.O,2005,0,0,0
PEP.O,2006,1,0,0
PEP.O,2007,1,1,0
PEP.O,2008,1,0,0
PEP.O,2009,0,0,0
PEP.O,2010,1,0,0
PEP.O,2011,0,0,0
PEP.O,2012,0,0,0
PEP.O,2013,1,0,0
PEP.O,2014,1,0,0
PEP.O,2015,1,1,0
PEP.O,2016,1,1,0
WFC,1998,1,1,1
WFC,1999,1,1,1
WFC,2000,1,1,1
WFC,2001,1,1,1
WFC,2002,1,1,1
WFC,2003,0,0,0
WFC,2004,1,1,1
WFC,2005,1,1,1
WFC,2006,1,1,1
WFC,2007,1,1,0
WFC,2008,1,1,0
WFC,2009,0,0,0
WFC,2010,0,0,0
WFC,2011,0,0,0
WFC,2012,0,0,0
WFC,2013,1,0,0
WFC,2014,1,0,0
WFC,2015,1,1,1
WFC,2016,1,1,1
UNH,1998,1,0,0
UNH,1999,0,0,0
UNH,2000,1,0,0
UNH,2001,0,0,0
UNH,2002,0,0,0
UNH,2003,1,0,0
UNH,2004,1,1,1
UNH,2005,1,1,1
UNH,2006,0,0,0
UNH,2007,0,0,0
UNH,2008,0,0,0
UNH,2009,0,0,0
UNH,2010,0,0,0
UNH,2011,0,0,0
UNH,2012,0,0,0
UNH,2013,0,0,0
UNH,2014,1,0,0
UNH,2015,1,0,0
UNH,2016,0,0,0
CTSH.O,1998,0,0,0
CTSH.O,1999,1,1,0
CTSH.O,2000,0,0,0
CTSH.O,2001,0,0,0
CTSH.O,2002,0,0,0
CTSH.O,2003,1,0,0
CTSH.O,2004,1,0,0
CTSH.O,2005,1,0,0
CTSH.O,2006,0,0,0
CTSH.O,2007,0,0,0
CTSH.O,2008,0,0,0
CTSH.O,2009,0,0,0
CTSH.O,2010,0,0,0
CTSH.O,2011,0,0,0
CTSH.O,2012,0,0,0
CTSH.O,2013,1,0,0
CTSH.O,2014,1,1,0
CTSH.O,2015,1,1,0
CTSH.O,2016,1,1,0
HCA,1998,1,1,1
HCA,1999,1,1,1
HCA,2000,1,1,1
HCA,2001,1,1,1
HCA,2002,1,1,1
HCA,2003,1,1,1
HCA,2004,1,1,1
HCA,2005,1,1,1
HCA,2006,1,1,1
HCA,2007,1,1,1
HCA,2008,1,1,1
HCA,2009,1,1,1
HCA,2010,1,1,1
HCA,2011,1,1,1
HCA,2012,1,1,1
HCA,2013,1,1,0
HCA,2014,1,1,0
HCA,2015,1,1,0
HCA,2016,1,1,1
JPM,1998,1,1,1
JPM,1999,1,1,1
JPM,2000,0,0,0
JPM,2001,0,0,0
JPM,2002,0,0,0
JPM,2003,1,1,0
JPM,2004,1,1,1
JPM,2005,1,0,0
JPM,2006,1,0,0
JPM,2007,1,0,0
JPM,2008,1,1,0
JPM,2009,1,1,0
JPM,2010,0,0,0
JPM,2011,0,0,0
JPM,2012,1,0,0
JPM,2013,1,1,0
JPM,2014,1,1,0
JPM,2015,0,0,0
JPM,2016,0,0,0
T,1998,1,1,1
T,1999,1,1,1
T,2000,1,1,1
T,2001,1,1,1
T,2002,1,1,1
T,2003,1,1,1
T,2004,1,1,1
T,2005,1,1,1
T,2006,1,1,1
T,2007,1,1,1
T,2008,1,1,1
T,2009,1,1,1
T,2010,1,1,1
T,2011,1,1,1
T,2012,1,1,0
T,2013,1,1,0
T,2014,1,1,1
T,2015,1,1,1
T,2016,1,1,1
TJX,1998,1,1,0
TJX,1999,1,1,0
TJX,2000,1,0,0
TJX,2001,0,0,0
TJX,2002,1,0,0
TJX,2003,1,1,1
TJX,2004,1,1,1
TJX,2005,1,1,0
TJX,2006,1,1,0
TJX,2007,1,1,0
TJX,2008,1,0,0
TJX,2009,0,0,0
TJX,2010,0,0,0
TJX,2011,0,0,0
TJX,2012,0,0,0
TJX,2013,1,1,0
TJX,2014,1,0,0
TJX,2015,1,1,0
TJX,2016,1,1,0
CVS,1998,1,1,1
CVS,1999,1,1,1
CVS,2000,0,0,0
CVS,2001,1,0,0
CVS,2002,0,0,0
CVS,2003,0,0,0
CVS,2004,0,0,0
CVS,2005,1,1,0
CVS,2006,1,1,0
CVS,2007,1,1,0
CVS,2008,1,1,0
CVS,2009,1,1,0
CVS,2010,1,1,0
CVS,2011,1,1,0
CVS,2012,1,1,0
CVS,2013,0,0,0
CVS,2014,1,0,0
CVS,2015,1,0,0
CVS,2016,1,1,0
MTLQU.PK,1998,0,0,0
MTLQU.PK,1999,0,0,0
MTLQU.PK,2000,1,1,1
MTLQU.PK,2001,1,1,1
MTLQU.PK,2002,0,0,0
MTLQU.PK,2003,1,1,1
MTLQU.PK,2004,1,1,1
MTLQU.PK,2005,1,1,0
MTLQU.PK,2006,1,1,1
MTLQU.PK,2007,1,1,1
MTLQU.PK,2008,1,1,1
MTLQU.PK,2009,1,1,1
MTLQU.PK,2010,1,1,1
MTLQU.PK,2011,1,1,1
MTLQU.PK,2012,1,1,1
MTLQU.PK,2013,1,1,0
MTLQU.PK,2014,1,1,0
MTLQU.PK,2015,1,1,1
MTLQU.PK,2016,1,1,0
MCD,1998,1,1,0
MCD,1999,1,1,0
MCD,2000,1,1,0
MCD,2001,1,1,1
MCD,2002,1,1,1
MCD,2003,1,1,1
MCD,2004,1,1,1
MCD,2005,1,1,0
MCD,2006,1,1,0
MCD,2007,1,1,1
MCD,2008,1,1,0
MCD,2009,1,1,0
MCD,2010,1,1,0
MCD,2011,1,1,1
MCD,2012,1,1,0
MCD,2013,1,1,1
MCD,2014,1,1,1
MCD,2015,1,1,1
MCD,2016,1,1,1
WBA.O,1998,1,1,0
WBA.O,1999,0,0,0
WBA.O,2000,0,0,0
WBA.O,2001,1,1,0
WBA.O,2002,1,1,0
WBA.O,2003,1,0,0
WBA.O,2004,0,0,0
WBA.O,2005,0,0,0
WBA.O,2006,0,0,0
WBA.O,2007,0,0,0
WBA.O,2008,0,0,0
WBA.O,2009,0,0,0
WBA.O,2010,0,0,0
WBA.O,2011,0,0,0
WBA.O,2012,1,1,0
WBA.O,2013,1,1,0
WBA.O,2014,0,0,0
WBA.O,2015,0,0,0
WBA.O,2016,0,0,0
BAC,1998,1,1,1
BAC,1999,1,1,1
BAC,2000,1,1,1
BAC,2001,1,1,1
BAC,2002,1,1,1
BAC,2003,1,1,1
BAC,2004,1,1,1
BAC,2005,0,0,0
BAC,2006,0,0,0
BAC,2007,0,0,0
BAC,2008,0,0,0
BAC,2009,1,0,0
BAC,2010,1,1,0
BAC,2011,1,1,0
BAC,2012,1,1,1
BAC,2013,1,0,0
BAC,2014,1,1,1
BAC,2015,1,1,0
BAC,2016,1,1,0
C,1998,1,1,1
C,1999,1,1,1
C,2000,1,1,1
C,2001,1,1,0
C,2002,1,0,0
C,2003,1,0,0
C,2004,1,1,1
C,2005,1,1,0
C,2006,1,1,1
C,2007,1,0,0
C,2008,1,1,0
C,2009,1,1,0
C,2010,1,0,0
C,2011,1,1,1
C,2012,1,1,1
C,2013,1,1,1
C,2014,1,1,0
C,2015,0,0,0
C,2016,0,0,0
UTX,1998,1,1,1
UTX,1999,1,0,0
UTX,2000,1,1,1
UTX,2001,1,1,0
UTX,2002,1,0,0
UTX,2003,1,1,1
UTX,2004,1,1,0
UTX,2005,0,0,0
UTX,2006,1,1,0
UTX,2007,1,1,0
UTX,2008,1,1,0
UTX,2009,1,1,0
UTX,2010,1,1,0
UTX,2011,1,0,0
UTX,2012,1,1,1
UTX,2013,1,1,1
UTX,2014,1,1,0
UTX,2015,1,1,0
UTX,2016,0,0,0
F,1998,1,1,1
F,1999,1,1,1
F,2000,1,1,0
